departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
CHOCO,27,NÓVITA,"27,491",Rural,JUNTAS DE TAMANA,"2,017",8,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,4.98111111111111,-76.4169444444444,Accidente por MAP,"(4.98111111111111, -76.4169444444444)",Fuerza pública
CHOCO,27,NÓVITA,"27,491",Rural,JUNTAS DE TAMANA,"2,017",8,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,4.98111111111111,-76.4169444444444,Accidente por MAP,"(4.98111111111111, -76.4169444444444)",Fuerza pública
BOLIVAR,13,NOROSÍ,"13,490",Rural,VEREDA MIRABRISAS,"2,017",9,Mayor de 18 años,no,Civil,Muerto,Masculino,8.526933,-74.038285,Accidente por MAP,"(8.526933, -74.038285)","Pasando, estando cerca"
BOLIVAR,13,NOROSÍ,"13,490",Rural,VEREDA MIRABRISAS,"2,017",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.526933,-74.038285,Accidente por MAP,"(8.526933, -74.038285)","Pasando, estando cerca"
BOLIVAR,13,NOROSÍ,"13,490",Rural,VEREDA MIRABRISAS,"2,017",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.526933,-74.038285,Accidente por MAP,"(8.526933, -74.038285)","Pasando, estando cerca"
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,VEREDA EMBARETADO,"2,017",9,Menor de 18 años,no,Civil,Herido,Femenino,7.582546,-75.400212,Accidente por MAP,"(7.582546, -75.400212)","Pasando, estando cerca"
ARAUCA,81,ARAUQUITA,"81,065",Rural,VEREDA ARAGUANEY,"2,017",9,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,6.68166666666667,-71.3619444444444,Accidente por MAP,"(6.68166666666667, -71.3619444444444)",Fuerza pública
NORTE DE SANTANDER,54,CONVENCIÓN,"54,206",Rural,VEREDA GUASILES SUR,"2,017",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.475334,-73.336059,Accidente por MAP,"(8.475334, -73.336059)","Pasando, estando cerca"
NARIÑO,52,SANTA CRUZ,"52,699",Rural,Sin Información,"2,017",9,Menor de 18 años,no,Civil,Muerto,Masculino,1.22182,-77.677265,Accidente por MUSE,"(1.22182, -77.677265)",Manipulación
NARIÑO,52,TUMACO,"52,835",Rural,VEREDA BRISAS DEL MATAJE,"2,017",9,Mayor de 18 años,no,Civil,Herido,Masculino,1.79338584254,-78.7639364297,Accidente por MAP,"(1.79338584254, -78.7639364297)","Pasando, estando cerca"
